OBJECTID	NAMOBJ	REMARK	x	y
1960	NA	Puskesmas/Puskesmas Pembantu	127.618105993	0.781512835000001
1961	NA	Puskesmas/Puskesmas Pembantu	127.620931422	0.79618420700001
1962	NA	Puskesmas/Puskesmas Pembantu	127.615494399	0.772223124999982
1963	NA	Puskesmas/Puskesmas Pembantu	127.575222084	0.751760153000021
1964	NA	Puskesmas/Puskesmas Pembantu	127.646867766	0.859406658000012
1965	NA	Puskesmas/Puskesmas Pembantu	127.650952353	0.894818382999972
1966	NA	Puskesmas/Puskesmas Pembantu	127.612175564	0.860741775000008
1967	NA	Puskesmas/Puskesmas Pembantu	127.633753674	0.872471555999994
1968	NA	Puskesmas/Puskesmas Pembantu	127.645161251	0.999111175999985
1969	NA	Puskesmas/Puskesmas Pembantu	127.565006188	0.879410009000026
1970	NA	Puskesmas/Puskesmas Pembantu	127.546680378	0.893629654999984
1971	NA	Puskesmas/Puskesmas Pembantu	127.525579021	0.905722432000005
1972	NA	Puskesmas/Puskesmas Pembantu	127.503042812	0.889216539000017
1973	NA	Puskesmas/Puskesmas Pembantu	127.514696572	0.953037375999997
1974	NA	Puskesmas/Puskesmas Pembantu	127.885620464	0.537081811999997
1975	NA	Puskesmas/Puskesmas Pembantu	127.551406361	0.715610885999979
1976	NA	Puskesmas/Puskesmas Pembantu	127.548606853	0.703834213999983
1977	NA	Puskesmas/Puskesmas Pembantu	127.558427942	0.700608423999995
1978	NA	Puskesmas/Puskesmas Pembantu	127.56413906	0.710604295999985
1979	NA	Puskesmas/Puskesmas Pembantu	127.569628611	0.710741677999977
1980	NA	Puskesmas/Puskesmas Pembantu	127.552481944	0.694827210000028
1981	NA	Puskesmas/Puskesmas Pembantu	127.543378629	0.640639639000028
1982	NA	Puskesmas/Puskesmas Pembantu	127.53967189	0.627044925999996
1983	NA	Puskesmas/Puskesmas Pembantu	127.531535437	0.614914211999974
1984	NA	Puskesmas/Puskesmas Pembantu	127.548931487	0.534215959999983
1985	NA	Puskesmas/Puskesmas Pembantu	128.511855943	0.591310608000015
1986	NA	Puskesmas/Puskesmas Pembantu	128.476088888	0.598387048000006
1987	NA	Puskesmas/Puskesmas Pembantu	128.285294446	0.700840149999976
1988	NA	Puskesmas/Puskesmas Pembantu	128.668639515	0.488763726999991
1989	NA	Puskesmas/Puskesmas Pembantu	128.681953061	0.397116563999987
1990	NA	Puskesmas/Puskesmas Pembantu	128.67927526	0.389996339999982
1991	NA	Puskesmas/Puskesmas Pembantu	128.678917688	0.336111399000004
1992	NA	Puskesmas/Puskesmas Pembantu	128.292905689	0.399923870000009
1993	NA	Puskesmas/Puskesmas Pembantu	128.351837874	0.40219949599998
1994	NA	Puskesmas/Puskesmas Pembantu	128.189458633	0.431318644999976
1995	NA	Puskesmas/Puskesmas Pembantu	128.220541938	0.416250665000007
1996	NA	Puskesmas/Puskesmas Pembantu	128.091421674	0.46194651899998
1997	NA	Puskesmas/Puskesmas Pembantu	128.097441687	0.464380687000016
1998	NA	Puskesmas/Puskesmas Pembantu	128.122297006	0.454858251000019
1999	NA	Puskesmas/Puskesmas Pembantu	127.878300632	0.332098958000017
2000	NA	Puskesmas/Puskesmas Pembantu	127.899583253	0.429106702000013
2001	NA	Puskesmas/Puskesmas Pembantu	127.906029174	0.40422305300001
2002	NA	Puskesmas/Puskesmas Pembantu	127.623233518	0.387600844000019
2003	NA	Puskesmas/Puskesmas Pembantu	127.705958658	0.413609268000016
2004	NA	Puskesmas/Puskesmas Pembantu	127.689735667	0.393128871999977
2005	NA	Puskesmas/Puskesmas Pembantu	127.69974416	0.395464048000008
2006	NA	Puskesmas/Puskesmas Pembantu	127.727694778	0.336865434999993
2007	NA	Puskesmas/Puskesmas Pembantu	127.912391167	0.227797165000027
2008	NA	Puskesmas/Puskesmas Pembantu	127.883093585	0.185208309000018
2009	NA	Puskesmas/Puskesmas Pembantu	127.881909017	0.160188162999987
2010	NA	Puskesmas/Puskesmas Pembantu	127.877327436	0.144828542000027
2011	NA	Puskesmas/Puskesmas Pembantu	127.89011635	0.045535574999974
2012	NA	Puskesmas/Puskesmas Pembantu	127.887977848	0.0493166019999762
2013	NA	Puskesmas/Puskesmas Pembantu	127.722199054	0.0748658680000176
2014	NA	Puskesmas/Puskesmas Pembantu	127.486871282	1.35868033100002
2015	NA	Puskesmas/Puskesmas Pembantu	127.490375964	1.38717146499999
2016	NA	Puskesmas/Puskesmas Pembantu	127.476404953	1.008487812
2017	NA	Puskesmas/Puskesmas Pembantu	127.466074582	1.05988010599998
2018	NA	Puskesmas/Puskesmas Pembantu	127.478238587	1.13449068300002
2019	NA	Puskesmas/Puskesmas Pembantu	127.489154221	1.137462911
2020	NA	Puskesmas/Puskesmas Pembantu	127.414285613	1.04180243000002
2021	NA	Puskesmas/Puskesmas Pembantu	127.413380933	1.08904674399997
2022	NA	Puskesmas/Puskesmas Pembantu	127.461392805	1.14837329400001
